,index,authors,average_rating,best_book_id,book_id,books_count,description,genres,goodreads_book_id,image_url,isbn,isbn13,language_code,original_publication_year,original_title,pages,publishDate,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,ratings_count,small_image_url,title,work_id,work_ratings_count,work_text_reviews_count,authors_2
1924,1924,"['Sophocles', 'Dudley Fitts', 'Elena Bono', 'Robert Fitzgerald']",3.96,1540,2052,331,"English versions of Sophocles’ three great tragedies based on the myth of Oedipus, translated for a modern audience by two gifted poets.","['classics', 'fiction', 'poetry']",1540,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,015602764X,9780156027650.0,eng,-401.0,,259.0,November 1st 2002,701,2795,11945,17804,17544,42175,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)",5672,50789,1122,"['Sophocles', 'Dudley Fitts', 'Elena Bono', 'Robert Fitzgerald']"
1925,1925,['Robert Penn Warren'],4.08,5527,2053,83,"More than just a classic political novel, Warren’s tale of power and corruption in the Depression-era South is a sustained meditation on the unforeseen consequences of every human act, the vexing connectedness of all people and the possibility—it’s not much of one—of goodness in a sinful world. Willie Stark, Warren’s lightly disguised version of Huey Long, the one time Louisiana strongman/governor, begins as a genuine tribune of the people and ends as a murderous populist demagogue. Jack Burden is his press agent, who carries out the boss’s orders, first without objection, then in the face of his own increasingly troubled conscience. And the politics? For Warren, that’s simply the arena most likely to prove that man is a fallen creature. Which it does.","['fiction', 'classics', 'historical-fiction']",5527,https://images.gr-assets.com/books/1342193852m/5527.jpg,156004801,9780156004800.0,eng,1946.0,All the King’s Men,439.0,09/01/96,834,2204,8396,16578,18976,42821,https://images.gr-assets.com/books/1342193852s/5527.jpg,All the King's Men,900927,46988,1951,['Robert Penn Warren']
1926,1926,['Ann Brashares'],3.82,5452,2054,70,"“A fun and poignant coming-of-age story,"" declared Entertainment Weekly of the third novel in the #1 New York Times bestselling Sisterhood of the Traveling Pants series by Ann Brashares, author of The Here and Now.It’s the summer before the sisterhood departs for college . . . their last real summer together before they head off to start their grown-up lives. It’s the time when Lena, Tibby, Bridget, and Carmen need their Pants the most. “Readers of the other books won’t be disappointed.” —Booklist, Starred“A treat for anyone.” —Los Angeles Times“These are friends worth having.” —Chicago Tribune","['young-adult', 'fiction', 'chick-lit', 'contemporary', 'romance']",5452,https://images.gr-assets.com/books/1320473346m/5452.jpg,553375938,9780553375930.0,eng,2005.0,Girls in Pants: The Third Summer of the Sisterhood,338.0,June 13th 2006,537,3527,19531,23839,16429,56485,https://images.gr-assets.com/books/1320473346s/5452.jpg,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",1710082,63863,1581,['Ann Brashares']
1927,1927,['Harlan Coben'],4.04,43931,2055,110,"Twenty years ago at summer camp, Paul Copeland's sister died in the woods, the alleged victim of a serial killer. Her body was never found. Now, Paul is the prosecutor for Essex County, New Jersey, immersed in one of the biggest cases of his career-a case that will change everything he believes about the past...and the truth.","['mystery', 'thriller', 'fiction', 'crime', 'suspense']",43931,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,525950125,9780525950130.0,eng,2007.0,The Woods,404.0,April 17th 2007,287,1477,10597,22477,16280,46234,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,The Woods,14591855,51118,3118,['Harlan Coben']
1928,1928,['Robert Jordan'],4.01,187065,2056,60,"The city of Canluum lies close to the scarred and desolate wastes of the Blight, a walled haven from the dangers away to the north, and a refuge from the ill works of those who serve the Dark One. Or so it is said.The city that greets Al’Lan Mandragoran, exiled king of Malkier and the finest swordsman of his generation, is instead one that is rife with rumour and the whisperings of Shadowspawn. Proof, should he have required it, that the Dark One grows powerful once more and that his minions are at work throughout the lands.And yet it is within Canluum’s walls that Lan will meet a woman who will shape his destiny. Moiraine is a young and powerful Aes Sedai who has journeyed to the city in search of a bondsman. She requires aid in a desperate quest to prove the truth of a vague and largely discredited prophecy—one that speaks of a means to turn back the shadow, and of a child who may be the dragon reborn.","['fantasy', 'fiction']",187065,https://images.gr-assets.com/books/1328959234m/187065.jpg,1841492612,9781841492610.0,eng,2004.0,New Spring,423.0,December 2nd 2004,974,2417,12404,20692,20957,52823,https://images.gr-assets.com/books/1328959234s/187065.jpg,"New Spring (Wheel of Time, #0)",987752,57444,1177,['Robert Jordan']
1929,1929,"['Fredrik Backman', 'Henning Koch']",4.02,23604559,2058,71,"Elsa is seven years old and different. Her grandmother is seventy-seven years old and crazy, standing-on-the-balcony-firing-paintball-guns-at-men-who-want-to-talk-about-Jesus-crazy. She is also Elsa's best, and only, friend. At night Elsa takes refuge in her grandmother's stories, in the Land of Almost-Awake and the Kingdom of Miamas where everybody is different and nobody needs to be normal.When Elsa's grandmother dies and leaves behind a series of letters apologizing to people she has wronged, Elsa's greatest adventure begins. Her grandmother's letters lead her to an apartment building full of drunks, monsters, attack dogs, and totally ordinary old crones, but also to the truth about fairytales and kingdoms and a grandmother like no other.","['fiction', 'contemporary', 'fantasy']",23604559,https://images.gr-assets.com/books/1461904020m/23604559.jpg,1501115065,9781501115070.0,eng,2013.0,Min mormor hälsar och säger förlåt,372.0,June 16th 2015,1361,3431,11866,23320,24418,49291,https://images.gr-assets.com/books/1461904020s/23604559.jpg,My Grandmother Asked Me to Tell You She's Sorry,25003015,64396,9989,"['Fredrik Backman', 'Henning Koch']"
1930,1930,['Vince Flynn'],4.24,7959473,2059,50,"Mitch Rapp is a gifted college athlete who just wants retribution for the Pan Am Lockerbie attack. He trains six months intensely with other clandestine operatives, under CIA Operations Director Thomas Stansfield and protégé Irene Kennedy, to stop terrorists before they reach America. The assassin leaves a trail of bodies from Istanbul across Europe to Beirut, where he needs every ounce of skill and cunning to survive the war-ravaged city and its deadly terrorist factions.","['thriller', 'fiction', 'mystery', 'suspense']",7959473,https://images.gr-assets.com/books/1425389574m/7959473.jpg,141659518X,9781416595180.0,eng,2010.0,American Assassin,435.0,October 12th 2010,554,1248,6678,18148,22880,44196,https://images.gr-assets.com/books/1425389574s/7959473.jpg,"American Assassin (Mitch Rapp, #1)",11771611,49508,2395,['Vince Flynn']
1931,1931,['Brené Brown'],4.24,13588356,2060,44,"Researcher and thought leader Dr. Brené Brown offers a powerful new vision that encourages us to dare greatly: to embrace vulnerability and imperfection, to live wholeheartedly, and to courageously engage in our lives. “It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; . . . who at best knows in the end the triumph of high achievement, and who at worst, if he fails, at least fails while daring greatly.” —Theodore RooseveltEvery day we experience the uncertainty, risks, and emotional exposure that define what it means to be vulnerable, or to dare greatly. Whether the arena is a new relationship, an important meeting, our creative process, or a difficult family conversation, we must find the courage to walk into vulnerability and engage with our whole hearts.In Daring Greatly, Dr. Brown challenges everything we think we know about vulnerability. Based on twelve years of research, she argues that vulnerability is not weakness, but rather our clearest path to courage, engagement, and meaningful connection. The book that Dr. Brown’s many fans have been waiting for, Daring Greatly will spark a new spirit of truth—and trust—in our organizations, families, schools, and communities.","['nonfiction', 'self-help', 'psychology', 'business', 'spirituality']",13588356,https://images.gr-assets.com/books/1337110319m/13588356.jpg,1592407331,9781592407330.0,eng,2012.0,"Daring Greatly : How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",287.0,September 11th 2012,861,1814,7428,18252,26796,49636,https://images.gr-assets.com/books/1337110319s/13588356.jpg,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19175758,55151,4612,['Brené Brown']
1932,1932,['Hannah Kent'],4.01,17333319,2061,72,"A brilliant literary debut, inspired by a true story: the final days of a young woman accused of murder in Iceland in 1829. Set against Iceland's stark landscape, Hannah Kent brings to vivid life the story of Agnes, who, charged with the brutal murder of her former master, is sent to an isolated farm to await execution. Horrified at the prospect of housing a convicted murderer, the family at first avoids Agnes. Only Tóti, a priest Agnes has mysteriously chosen to be her spiritual guardian, seeks to understand her. But as Agnes's death looms, the farmer's wife and their daughters learn there is another side to the sensational story they've heard. Riveting and rich with lyricism, Burial Rites evokes a dramatic existence in a distant time and place, and asks the question, how can one woman hope to endure when her life depends upon the stories told by others?","['historical-fiction', 'fiction', 'mystery', 'crime']",17333319,https://images.gr-assets.com/books/1384207446m/17333319.jpg,316243914,9780316243920.0,eng,2013.0,Burial Rites,336.0,September 10th 2013,695,2143,10040,23505,16713,41209,https://images.gr-assets.com/books/1384207446s/17333319.jpg,Burial Rites,21943144,53096,8028,['Hannah Kent']
1933,1933,['Sarah Waters'],4.02,8913370,2062,72,"Sue Trinder is an orphan, left as an infant in the care of Mrs. Sucksby, a ""baby farmer,"" who raised her with unusual tenderness, as if Sue were her own. Mrs. Sucksby’s household, with its fussy babies calmed with doses of gin, also hosts a transient family of petty thieves—fingersmiths—for whom this house in the heart of a mean London slum is home.One day, the most beloved thief of all arrives—Gentleman, an elegant con man, who carries with him an enticing proposition for Sue: If she wins a position as the maid to Maud Lilly, a naïve gentlewoman, and aids Gentleman in her seduction, then they will all share in Maud’s vast inheritance. Once the inheritance is secured, Maud will be disposed of—passed off as mad, and made to live out the rest of her days in a lunatic asylum.With dreams of paying back the kindness of her adopted family, Sue agrees to the plan. Once in, however, Sue begins to pity her helpless mark and care for Maud Lilly in unexpected ways...But no one and nothing is as it seems in this Dickensian novel of thrills and reversals.","['historical-fiction', 'fiction', 'romance', 'mystery']",45162,https://images.gr-assets.com/books/1327879025m/45162.jpg,1573229725,9781573229720.0,eng,2002.0,Fingersmith,592.0,October 1st 2002,1103,2759,10022,20675,20039,41761,https://images.gr-assets.com/books/1327879025s/45162.jpg,Fingersmith,1014113,54598,3959,['Sarah Waters']
1934,1934,['Peter Mayle'],3.94,40189,2063,72,"National Bestseller In this witty and warm-hearted account, Peter Mayle tells what it is like to realize a long-cherished dream and actually move into a 200-year-old stone farmhouse in the remote country of the Lubéron with his wife and two large dogs. He endures January's frosty mistral as it comes howling down the Rhône Valley, discovers the secrets of goat racing through the middle of town, and delights in the glorious regional cuisine. A Year in Provence transports us into all the earthy pleasures of Provençal life and lets us live vicariously at a tempo governed by seasons, not by days.","['travel', 'nonfiction', 'memoir', 'biography']",40189,https://images.gr-assets.com/books/1494896848m/40189.jpg,679731148,9780679731150.0,eng,1989.0,A Year in Provence,207.0,June 4th 1991,659,2349,11566,19015,15454,47139,https://images.gr-assets.com/books/1494896848s/40189.jpg,A Year in Provence,940715,49043,2329,['Peter Mayle']
1935,1935,"['Kate DiCamillo', 'Bagram Ibatoulline']",4.34,37186,2064,59,"A timeless tale by the incomparable Kate DiCamillo, complete with stunning full-color plates by Bagram Ibatoulline, honors the enduring power of love.""Someone will come for you, but first you must open your heart. . . .""Once, in a house on Egypt Street, there lived a china rabbit named Edward Tulane. The rabbit was very pleased with himself, and for good reason: he was owned by a girl named Abilene, who treated him with the utmost care and adored him completely. And then, one day, he was lost. Kate DiCamillo takes us on an extraordinary journey, from the depths of the ocean to the net of a fisherman, from the top of a garbage heap to the fireside of a hoboes' camp, from the bedside of an ailing child to the bustling streets of Memphis. And along the way, we are shown a true miracle — that even a heart of the most breakable kind can learn to love, to lose, and to love again.","['fantasy', 'fiction', 'young-adult']",37186,https://images.gr-assets.com/books/1361121815m/37186.jpg,763625892,9780763625890.0,eng,2000.0,The Miraculous Journey of Edward Tulane,200.0,February 14th 2006,581,1442,7197,17006,31331,53245,https://images.gr-assets.com/books/1361121815s/37186.jpg,The Miraculous Journey of Edward Tulane,822151,57557,7221,"['Kate DiCamillo', 'Bagram Ibatoulline']"
1936,1936,['Jojo Moyes'],3.94,10163292,2065,91,"A sophisticated, page-turning double love story spanning forty years-an unforgettable Brief Encounter for our times.  It is 1960. When Jennifer Stirling wakes up in the hospital, she can remember nothing-not the tragic car accident that put her there, not her husband, not even who she is. She feels like a stranger in her own life until she stumbles upon an impassioned letter, signed simply ""B"", asking her to leave her husband. Years later, in 2003, a journalist named Ellie discovers the same enigmatic letter in a forgotten file in her newspaper's archives. She becomes obsessed by the story and hopeful that it can resurrect her faltering career. Perhaps if these lovers had a happy ending she will find one to her own complicated love life, too. Ellie's search will rewrite history and help her see the truth about her own modern romance. A spellbinding, intoxicating love story with a knockout ending, The Last Letter from Your Lover will appeal to the readers who have made One Day and The Guernsey Literary and Potato Peel Pie Society bestsellers.","['romance', 'fiction', 'historical-fiction', 'chick-lit', 'contemporary']",10163292,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,670022802,9780670022810.0,eng,2008.0,The Last Letter From Your Lover,390.0,July 7th 2011,728,2422,11746,22222,15781,41138,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,The Last Letter from Your Lover,11340098,52899,5264,['Jojo Moyes']
1937,1937,['Martin Cruz Smith'],4.04,762806,2066,83,"A triple murder in a Moscow amusement center: three corpses found frozen in the snow, faces and fingers missing. Chief homicide investigator Arkady Renko is brilliant, sensitive, honest, and cynical about everything except his profession. To identify the victims and uncover the truth, he must battle the KGB, FBI, and New York police as he performs the impossible--and tries to stay alive doing it.","['mystery', 'fiction', 'thriller', 'crime', 'suspense']",762806,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,345298349,9780345298350.0,eng,1981.0,Gorky Park,433.0,February 12th 1982,398,1634,10061,19961,16322,46847,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Gorky Park (Arkady Renko, #1)",90322,48376,807,['Martin Cruz Smith']
1938,1938,['Karen Hesse'],3.73,25346,2068,33,"When Billie Jo is just fourteen she must endure heart-wrenching ordeals that no child should have to face. The quiet strength she displays while dealing with unspeakable loss is as surprising as it is inspiring.Written in free verse, this award-winning story is set in the heart of the Great Depression. It chronicles Oklahoma's staggering dust storms, and the environmental--and emotional--turmoil they leave in their path. An unforgettable tribute to hope and inner strength.","['historical-fiction', 'poetry', 'young-adult', 'fiction', 'classics']",25346,https://images.gr-assets.com/books/1328867076m/25346.jpg,439771277,9780439771280.0,eng,1997.0,Out of the Dust,227.0,June 1st 2005,2274,5082,14242,17616,16418,53706,https://images.gr-assets.com/books/1328867076s/25346.jpg,Out of the Dust,808243,55632,3748,['Karen Hesse']
1939,1939,['Meg Cabot'],3.71,23219,2069,44,"What's an American girl with a big mouth, but an equally big heart, to do?Lizzie Nichols has a problem, and it isn't that she doesn't have the slightest idea what she's going to do with her life, or that she's blowing what should be her down payment on a cute little Manhattan apartment on a trip to London to visit her long-distance boyfriend, Andrew. But what's the point of planning for the future when she's done it again? See, Lizzie can't keep her mouth shut. And it's not just that she can't keep her own secrets, she can't keep anything to herself.This time when she opens her big mouth, her good intentions get Andrew in major hot water. So now Lizzie's stuck in London with no boyfriend and no place to stay until the departure date written on her non-refundable airline ticket.Fortunately, there's Shari, Lizzie's best friend and college roommate, who's spending her summer in southern France, catering weddings with her boyfriend, Chaz, in a sixteenth-century château. One call and Lizzie's on a train to Souillac. Who cares if she's never traveled alone in her life and only speaks rudimentary French? One glimpse of gorgeous Château Mirac - not to mention gorgeous Luke, the son of Château Mirac's owner - and she's smitten.But while most caterers can be trusted to keep a secret, Lizzie's the exception. And no sooner has the first cork been popped than Luke hates her, the bride is in tears, and it looks like Château Mirac is in danger of becoming a lipo-recovery spa. As if things aren't bad enough, her ex-boyfriend Andrew shows up looking for ""closure"" (or at least a loan), threatening to ruin everything, especially Lizzie's chance at ever finding real love...Unless she can figure out a way to use that big mouth of hers to save the day.","['chick-lit', 'romance', 'fiction', 'contemporary', 'young-adult']",23219,https://images.gr-assets.com/books/1371049249m/23219.jpg,60851988,9780060851990.0,eng,2006.0,Queen of Babble,309.0,May 23rd 2006,1875,4659,16341,18743,14766,54248,https://images.gr-assets.com/books/1371049249s/23219.jpg,"Queen of Babble (Queen of Babble, #1)",905861,56384,1899,['Meg Cabot']
1940,1940,['Jeff Kinney'],4.21,13563669,2070,71,"Love is in the air - but what does that mean for Greg Heffley?A Valentine's Day dance at Greg's middle school has turned his world upside down. As Greg scrambles to find a date, he's worried he'll be left out in the cold on the big night. His best friend, Rowley, doesn't have any prospects either, but that's a small consolation.An unexpected twist gives Greg a partner for the dance and leaves Rowley the odd man out. But a lot can happen in one night, and in the end, you never know who's going to be lucky in love.","['fiction', 'graphic-novels', 'young-adult', 'comics']",13563669,https://images.gr-assets.com/books/1366229038m/13563669.jpg,1419705849,9781419705850.0,eng,2012.0,The Third Wheel,224.0,November 13th 2012,1064,2154,7824,12319,25363,44607,https://images.gr-assets.com/books/1366229038s/13563669.jpg,"The Third Wheel (Diary of a Wimpy Kid, #7)",19140180,48724,2619,['Jeff Kinney']
1941,1941,['Elizabeth Wein'],4.08,11925514,2071,57,"Oct. 11th, 1943 - A British spy plane crashes in Nazi-occupied France. Its pilot and passenger are best friends. One of the girls has a chance at survival. The other has lost the game before it's barely begun. When ""Verity"" is arrested by the Gestapo, she's sure she doesn't stand a chance. As a secret agent captured in enemy territory, she's living a spy's worst nightmare. Her Nazi interrogators give her a simple choice: reveal her mission or face a grisly execution. As she intricately weaves her confession, Verity uncovers her past, how she became friends with the pilot Maddie, and why she left Maddie in the wrecked fuselage of their plane. On each new scrap of paper, Verity battles for her life, confronting her views on courage and failure and her desperate hope to make it home. But will trading her secrets be enough to save her from the enemy? Harrowing and beautifully written, Elizabeth Wein creates a visceral read of danger, resolve, and survival that shows just how far true friends will go to save each other. Code Name Verity is an outstanding novel that will stick with you long after the last page.","['historical-fiction', 'young-adult', 'fiction', 'mystery']",11925514,https://images.gr-assets.com/books/1388161911m/11925514.jpg,1405258217,9781405258210.0,eng,2012.0,Code Name Verity,452.0,February 6th 2012,1847,3375,10330,22216,27700,55139,https://images.gr-assets.com/books/1388161911s/11925514.jpg,"Code Name Verity (Code Name Verity, #1)",16885788,65468,11912,['Elizabeth Wein']
1942,1942,['Ellen Hopkins'],4.24,270807,2072,12,"I do know things really began to spin out of control after my first sex dream.It all started with a dream. Nothing exceptional, just a typical fantasy about a boy, the kind of dream that most teen girls experience. But Pattyn Von Stratten is not like most teen girls. Raised in a religious—yet abusive—family, a simple dream may not be exactly a sin, but it could be the first step toward hell and eternal damnation.This dream is a first step for Pattyn. But is it to hell or to a better life? For the first time Pattyn starts asking questions. Questions seemingly without answers—about God, a woman's role, sex, love—mostly love. What is it? Where is it? Will she ever experience it? Is she deserving of it?It's with a real boy that Pattyn gets into real trouble. After Pattyn's father catches her in a compromising position, events spiral out of control until Pattyn ends up suspended from school and sent to live with an aunt she doesn't know.Pattyn is supposed to find salvation and redemption during her exile to the wilds of rural Nevada. Yet what she finds instead is love and acceptance. And for the first time she feels worthy of both—until she realizes her old demons will not let her go. Pattyn begins down a path that will lead her to a hell—a hell that may not be the one she learned about in sacrament meetings, but it is hell all the same.In this riveting and masterful novel told in verse, Ellen Hopkins takes readers on an emotional roller-coaster ride. From the highs of true love to the lows of abuse, Pattyn's story will have readers engrossed until the very last word.","['young-adult', 'poetry', 'fiction', 'contemporary', 'romance', 'religion']",270807,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,1416903542,9781416903540.0,eng,2006.0," Burned (Burned, #1)",431.0,April 1st 2006,810,2073,7454,13804,26169,48333,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Burned (Burned, #1)",262533,50310,3379,['Ellen Hopkins']
1943,1943,['Sidney Sheldon'],4.09,43330,2073,91,"One of Sidney Sheldon's most popular and bestselling titles, repackaged and reissued for a new generation of fans. Kate Blackwell is one of the richest and most powerful women in the world. She is an enigma, a woman surrounded by a thousand unanswered questions. Her father was a diamond prospector who struck it rich beyond his wildest dreams. Her mother was the daughter of a crooked Afrikaaner merchant. Her conception was itself an act of hate-filled vengeance. At the extravagent celebrations of her ninetieth birthday, there are toasts from a Supreme Court Judge and a telegram from the White House. And for Kate there are ghosts, ghosts of absent friends and of enemies. Ghosts from a life of blackmail and murder. Ghosts from an empire spawned by naked ambition! Sidney Sheldon is one of the most popular storytellers in the world. This is one of his best-loved novels, a compulsively readable thriller, packed with suspense, intrigue and passion. It will recruit a new generation of fans to his writing.","['fiction', 'thriller', 'mystery', 'suspense', 'romance', 'crime', 'historical-fiction']",43330,https://images.gr-assets.com/books/1170095440m/43330.jpg,6472613,9780006472610.0,eng,1982.0,Master of the Game,489.0,1993,364,1614,8555,15598,16908,40111,https://images.gr-assets.com/books/1170095440s/43330.jpg,Master of the Game,1686217,43039,1313,['Sidney Sheldon']
1944,1944,['Patricia Cornwell'],4.04,6539,2074,103,"The Body Farm - a research institute that tests the decomposition of corpses. Black Mountain, North Carolina: a sleepy little town where the local police deal with one homicide a year, if they're unlucky, and where people are still getting used to the idea of locking their doors at night. But violent death is no respecter of venue, and the discovery of the corpse of an 11-year-old girl sends shock waves through the community. Dr Kay Scarpetta, Chief medical Examiner on a similar case in Virginia, is called in to apply her forensic skills to this latest atrocity, but the apparent simplicity of the case proves something of a poisoned chalice - until Scarpetta finds enlightenment through the curious pathologists' playground known as the Body Farm.From Author’s Website","['mystery', 'fiction', 'crime', 'thriller', 'suspense']",6539,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,425201449,9780425201440.0,eng,1994.0,The Body Farm,351.0,December 28th 2004,261,1652,11962,22349,18235,51115,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"The Body Farm (Kay Scarpetta, #5)",1454964,54459,969,['Patricia Cornwell']
1945,1945,['Meg Cabot'],3.83,93722,2075,48,"To: You (you)From: Human Resources (human.resources@thenyjournal.com)Subject: This BookDear Reader,This is an automated message from the Human Resources Division of the New York Journal, New York City’s leading photo-newspaper. Please be aware that according to our records you have not yet read this book. What exactly are you waiting for? This book has it all:HumorRomanceCooking tipsGreat DanesHeroine in perilDolphin-shaped driftwood sculpturesIf you wish to read about any of the above, please do not hesitate to head to the checkout counter, where you will be paired with a sales associate who will work to help you buy this book.We here at the New York Journal are a team. We win as a team, and lose as one as well. Don’t you want to be on the winning team?Sincerely, Human Resources Division New York JournalPlease note that failure to read this book may result in suspension or dismissal from this store.*********This e-mail is confidential and should not be used by anyone who is not the original intended recipient. If you have received this e-mail in error please inform the sender and delete it from your mailbox or any other storage mechanism.*********","['chick-lit', 'romance', 'fiction', 'contemporary', 'young-adult', 'mystery']",93722,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,60845546,9780060845540.0,eng,2002.0,The Boy Next Door (Boy #1),379.0,October 25th 2005,1240,3446,14574,18696,16134,50953,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"The Boy Next Door (Boy, #1)",3220771,54090,1832,['Meg Cabot']
1946,1946,"['Anonymous', 'N.K. Sandars']",3.63,19351,2076,266,"Miraculously preserved on clay tablets dating back as much as four thousand years, the poem of Gilgamesh, king of Uruk, is the world’s oldest epic, predating Homer by many centuries. The story tells of Gilgamesh’s adventures with the wild man Enkidu, and of his arduous journey to the ends of the earth in quest of the Babylonian Noah and the secret of immortality. Alongside its themes of family, friendship and the duties of kings, the Epic of Gilgamesh is, above all, about mankind’s eternal struggle with the fear of death.The Babylonian version has been known for over a century, but linguists are still deciphering new fragments in Akkadian and Sumerian.","['classics', 'poetry', 'fiction', 'fantasy', 'religion']",19351,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,141026286,9780141026280.0,eng,-1750.0,Shūtur eli sharrī,120.0,May 4th 2006,1551,5850,17627,17485,13343,44345,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,The Epic of Gilgamesh,3802528,55856,2247,"['Anonymous', 'N.K. Sandars']"
1947,1947,['Anna Godbersen'],3.63,1254951,2077,46,"Pretty girls in pretty dresses, partying until dawn. Irresistible boys with mischievous smiles and dangerous intentions. White lies, dark secrets, and scandalous hookups. This is Manhattan, 1899. Beautiful sisters Elizabeth and Diana Holland rule Manhattan's social scene. Or so it appears. When the girls discover their status among New York City's elite is far from secure, suddenly everyone--from the backstabbing socialite Penelope Hayes, to the debonair bachelor Henry Schoonmaker, to the spiteful maid Lina Broud--threatens Elizabeth's and Diana's golden future. With the fate of the Hollands resting on her shoulders, Elizabeth must choose between family duty and true love. But when her carriage overturns near the East River, the girl whose glittering life lit up the city's gossip pages is swallowed by the rough current. As all of New York grieves, some begin to wonder whether life at the top proved too much for this ethereal beauty, or if, perhaps, someone wanted to see Manhattan's most celebrated daughter disappear... In a world of luxury and deception, where appearance matters above everything and breaking the social code means running the risk of being ostracized forever, five teenagers lead dangerously scandalous lives. This thrilling trip to the age of innocence is anything but innocent.","['historical-fiction', 'young-adult', 'romance', 'fiction', 'chick-lit', 'mystery']",1254951,https://images.gr-assets.com/books/1323438343m/1254951.jpg,61345660,9780061345660.0,eng,2007.0,The Luxe,433.0,November 20th 2007,3110,6491,16567,19363,16151,58717,https://images.gr-assets.com/books/1323438343s/1254951.jpg,"The Luxe (Luxe, #1)",1243729,61682,4277,['Anna Godbersen']
1948,1948,['Beatrix Potter'],4.36,19330,2078,32,This complete and unabridged collection contains all 23 of Beatrix Potter's Tales in one deluxe volume with all their original illustrations. The stories are arranged in the order in which they were first published so they may be read in their proper sequence. A special section at the end of this volume contains four additional works by Beatrix Potter that were not published during her lifetime. Beautifully reissued with a newly designed slipcase and jacket--a truly stunning gift.,"['classics', 'fiction', 'fantasy']",19330,https://images.gr-assets.com/books/1355114621m/19330.jpg,072325804X,9780723258050.0,eng,1986.0,The Complete Tales of Beatrix Potter,400.0,November 1st 2006,496,1339,7819,15363,32444,56807,https://images.gr-assets.com/books/1355114621s/19330.jpg,The Complete Tales,1139913,57461,350,['Beatrix Potter']
1949,1949,['Philip Roth'],3.91,11650,2079,100,"Pulitzer Prize Winner (1998)In American Pastoral, Philip Roth gives us a novel of unqualified greatness that is an elegy for all the twentieth century's promises of prosperity, civic order, and domestic bliss. Roth's protagonist is Seymour 'Swede' Levov—a legendary high school athlete, a devoted family man, a hard worker, the prosperous inheritor of his father's Newark glove factory—comes of age in thriving, triumphant post-war America. And then one day in 1968, Swede's beautiful American luck deserts him.For Swede's adored daughter, Merry, has grown from a loving, quick-witted girl into a sullen, fanatical teenager—a teenager capable of an outlandishly savage act of political terrorism. And overnight Swede is wrenched out of the longed-for American pastoral and into the indigenous American berserk. Compulsively readable, propelled by sorrow, rage, and a deep compassion for its characters, this is Roth's masterpiece.","['fiction', 'classics', 'historical-fiction', 'contemporary']",11650,https://images.gr-assets.com/books/1203002984m/11650.jpg,99771810,9780099771810.0,eng,1997.0,American Pastoral,432.0,March 5th 1998,1278,3118,8920,16458,14992,38017,https://images.gr-assets.com/books/1203002984s/11650.jpg,"American Pastoral (The American Trilogy, #1)",598119,44766,3224,['Philip Roth']
